step,strain,x_m,y_m,mode
198,0.003300000,0.026105882,0.022376471,tensile
199,0.003316667,-0.011188235,-0.044752941,tensile
199,0.003316667,-0.022376471,-0.037294118,tensile
199,0.003316667,-0.022376471,-0.029835294,tensile
199,0.003316667,0.014917647,-0.029835294,tensile
199,0.003316667,0.026105882,-0.022376471,tensile
199,0.003316667,0.007458824,0.029835294,tensile
199,0.003316667,0.022376471,0.029835294,tensile
199,0.003316667,-0.022376471,0.044752941,tensile
199,0.003316667,-0.007458824,0.044752941,tensile
200,0.003333333,-0.011188235,-0.007458824,tensile
200,0.003333333,-0.018647059,0.014917647,tensile
200,0.003333333,0.000000000,0.044752941,tensile
201,0.003350000,0.000000000,-0.037294118,tensile
201,0.003350000,-0.022376471,-0.022376471,tensile
201,0.003350000,0.003729412,0.000000000,tensile
201,0.003350000,0.014917647,0.000000000,tensile
201,0.003350000,-0.003729412,0.044752941,tensile
202,0.003366667,0.011188235,-0.007458824,tensile
202,0.003366667,0.014917647,-0.007458824,tensile
202,0.003366667,-0.011188235,0.000000000,tensile
202,0.003366667,0.011188235,0.000000000,tensile
202,0.003366667,0.026105882,0.007458824,tensile
202,0.003366667,-0.014917647,0.029835294,tensile
203,0.003383333,0.007458824,-0.052211765,tensile
203,0.003383333,-0.018647059,-0.029835294,tensile
203,0.003383333,0.007458824,-0.022376471,tensile
203,0.003383333,-0.014917647,0.007458824,tensile
204,0.003400000,-0.022376471,-0.044752941,tensile
204,0.003400000,0.022376471,0.044752941,tensile
