phase,delta,force
unloading,0.0004449438202247191,-0.29456739980137664
unloading,0.0004314606741573033,-0.29456739980137664
unloading,0.00041797752808988756,-0.29456739980137664
unloading,0.0004044943820224719,-0.29456739980137664
unloading,0.0003910112359550562,-0.29456739980137664
unloading,0.00037752808988764043,-0.29456739980137664
unloading,0.00036404494382022467,-0.29456739980137664
unloading,0.000350561797752809,-0.29456739980137664
unloading,0.00033707865168539324,-0.29456739980137664
unloading,0.0003235955056179775,-0.29456739980137664
unloading,0.0003101123595505617,-0.29456739980137664
unloading,0.0002966292134831461,-0.29456739980137664
unloading,0.00028314606741573035,-0.29456739980137664
unloading,0.0002696629213483146,-0.29456739980137664
unloading,0.0002561797752808988,-0.29456739980137664
unloading,0.0002426966292134832,-0.29456739980137664
unloading,0.00022921348314606743,-0.29456739980137664
unloading,0.00021573033707865166,-0.29456739980137664
unloading,0.0002022471910112359,-0.29456739980137664
unloading,0.00018876404494382027,-0.29456739980137664
unloading,0.0001752808988764045,-0.29456739980137664
unloading,0.00016179775280898874,-0.29456739980137664
unloading,0.00014831460674157298,-0.29456739980137664
unloading,0.00013483146067415735,-0.29456739980137664
unloading,0.0001213483146067416,-0.29456739980137664
unloading,0.00010786516853932583,-0.29456739980137664
unloading,9.438202247191007e-05,-0.29456739980137664
unloading,8.089887640449444e-05,-0.29456739980137664
unloading,6.741573033707867e-05,-0.29456739980137664
unloading,5.3932584269662916e-05,-0.29456739980137664
unloading,4.044943820224715e-05,-0.29456739980137664
unloading,2.6966292134831526e-05,-0.29456739980137664
unloading,1.3483146067415763e-05,-0.29456739980137664
unloading,0.0,-0.29456739980137664
